Strain,CRISPRi_system,Replicate,Time,WT,0,0.25,2,4
MG1655,Sp,1,0,0.081,0.082,0.082,0.082,0.081
MG1655,Sp,1,0.25,0.082,0.083,0.083,0.083,0.082
MG1655,Sp,1,0.5,0.083,0.085,0.085,0.084,0.083
MG1655,Sp,1,0.75,0.085,0.088,0.089,0.086,0.084
MG1655,Sp,1,1,0.088,0.091,0.093,0.089,0.086
MG1655,Sp,1,1.25,0.093,0.099,0.1,0.093,0.089
MG1655,Sp,1,1.5,0.099,0.106,0.108,0.097,0.092
MG1655,Sp,1,1.75,0.105,0.115,0.117,0.1,0.095
MG1655,Sp,1,2,0.114,0.127,0.131,0.105,0.098
MG1655,Sp,1,2.25,0.126,0.142,0.147,0.108,0.102
MG1655,Sp,1,2.5,0.141,0.16,0.167,0.112,0.105
MG1655,Sp,1,2.75,0.161,0.183,0.192,0.117,0.109
MG1655,Sp,1,3,0.192,0.208,0.222,0.121,0.112
MG1655,Sp,1,3.25,0.23,0.234,0.245,0.127,0.116
MG1655,Sp,1,3.5,0.281,0.26,0.298,0.131,0.119
MG1655,Sp,1,3.75,0.314,0.282,0.299,0.138,0.124
MG1655,Sp,1,4,0.356,0.304,0.312,0.145,0.128
MG1655,Sp,1,4.25,0.313,0.332,0.338,0.152,0.134
MG1655,Sp,1,4.5,0.332,0.356,0.362,0.157,0.138
MG1655,Sp,1,4.75,0.356,0.367,0.375,0.167,0.144
MG1655,Sp,1,5,0.381,0.378,0.383,0.174,0.151
MG1655,Sp,1,5.25,0.397,0.382,0.387,0.179,0.158
MG1655,Sp,1,5.5,0.386,0.385,0.389,0.184,0.161
MG1655,Sp,1,5.75,0.392,0.394,0.398,0.194,0.167
MG1655,Sp,1,6,0.399,0.405,0.411,0.203,0.174
MG1655,Sp,1,6.25,0.408,0.418,0.422,0.216,0.182
MG1655,Sp,1,6.5,0.42,0.429,0.433,0.227,0.187
MG1655,Sp,1,6.75,0.431,0.439,0.445,0.24,0.195
MG1655,Sp,1,7,0.439,0.449,0.455,0.25,0.203
MG1655,Sp,1,7.25,0.45,0.461,0.468,0.255,0.21
MG1655,Sp,1,7.5,0.461,0.472,0.48,0.263,0.216
MG1655,Sp,1,7.75,0.474,0.483,0.49,0.276,0.223
MG1655,Sp,1,8,0.486,0.493,0.5,0.286,0.234
MG1655,Sp,2,0,0.083,0.086,0.089,0.085,0.085
MG1655,Sp,2,0.25,0.083,0.087,0.088,0.085,0.086
MG1655,Sp,2,0.5,0.085,0.089,0.09,0.087,0.086
MG1655,Sp,2,0.75,0.088,0.091,0.094,0.088,0.088
MG1655,Sp,2,1,0.092,0.095,0.098,0.092,0.09
MG1655,Sp,2,1.25,0.097,0.1,0.103,0.095,0.093
MG1655,Sp,2,1.5,0.103,0.107,0.11,0.099,0.095
MG1655,Sp,2,1.75,0.11,0.114,0.118,0.103,0.098
MG1655,Sp,2,2,0.12,0.124,0.127,0.109,0.101
MG1655,Sp,2,2.25,0.134,0.137,0.14,0.113,0.103
MG1655,Sp,2,2.5,0.151,0.154,0.159,0.117,0.106
MG1655,Sp,2,2.75,0.172,0.175,0.178,0.122,0.109
MG1655,Sp,2,3,0.197,0.199,0.202,0.127,0.113
MG1655,Sp,2,3.25,0.231,0.232,0.226,0.134,0.116
MG1655,Sp,2,3.5,0.284,0.274,0.251,0.139,0.12
MG1655,Sp,2,3.75,0.308,0.287,0.284,0.147,0.124
MG1655,Sp,2,4,0.322,0.306,0.291,0.155,0.127
MG1655,Sp,2,4.25,0.316,0.311,0.315,0.165,0.133
MG1655,Sp,2,4.5,0.343,0.336,0.343,0.172,0.138
MG1655,Sp,2,4.75,0.362,0.36,0.363,0.18,0.146
MG1655,Sp,2,5,0.374,0.368,0.371,0.183,0.15
MG1655,Sp,2,5.25,0.383,0.375,0.377,0.191,0.154
MG1655,Sp,2,5.5,0.388,0.379,0.383,0.198,0.157
MG1655,Sp,2,5.75,0.392,0.385,0.39,0.208,0.163
MG1655,Sp,2,6,0.402,0.395,0.398,0.219,0.165
MG1655,Sp,2,6.25,0.411,0.406,0.409,0.231,0.17
MG1655,Sp,2,6.5,0.422,0.415,0.42,0.241,0.172
MG1655,Sp,2,6.75,0.433,0.428,0.431,0.249,0.179
MG1655,Sp,2,7,0.444,0.439,0.443,0.257,0.186
MG1655,Sp,2,7.25,0.455,0.449,0.454,0.266,0.191
MG1655,Sp,2,7.5,0.467,0.46,0.467,0.28,0.195
MG1655,Sp,2,7.75,0.48,0.471,0.478,0.286,0.202
MG1655,Sp,2,8,0.49,0.482,0.487,0.293,0.206
MG1655,Sp,3,0,0.083,0.082,0.082,0.08,0.08
MG1655,Sp,3,0.25,0.083,0.082,0.083,0.081,0.081
MG1655,Sp,3,0.5,0.085,0.085,0.085,0.082,0.082
MG1655,Sp,3,0.75,0.089,0.087,0.088,0.085,0.084
MG1655,Sp,3,1,0.093,0.091,0.091,0.088,0.086
MG1655,Sp,3,1.25,0.098,0.097,0.097,0.091,0.088
MG1655,Sp,3,1.5,0.105,0.104,0.103,0.095,0.09
MG1655,Sp,3,1.75,0.112,0.112,0.111,0.099,0.093
MG1655,Sp,3,2,0.123,0.124,0.122,0.103,0.096
MG1655,Sp,3,2.25,0.137,0.139,0.136,0.108,0.098
MG1655,Sp,3,2.5,0.156,0.157,0.154,0.112,0.101
MG1655,Sp,3,2.75,0.179,0.18,0.176,0.118,0.104
MG1655,Sp,3,3,0.202,0.203,0.198,0.119,0.106
MG1655,Sp,3,3.25,0.229,0.229,0.223,0.123,0.109
MG1655,Sp,3,3.5,0.261,0.282,0.27,0.129,0.112
MG1655,Sp,3,3.75,0.283,0.289,0.279,0.137,0.116
MG1655,Sp,3,4,0.306,0.292,0.289,0.144,0.12
MG1655,Sp,3,4.25,0.334,0.314,0.312,0.154,0.124
MG1655,Sp,3,4.5,0.351,0.342,0.34,0.161,0.127
MG1655,Sp,3,4.75,0.365,0.354,0.355,0.172,0.134
MG1655,Sp,3,5,0.376,0.362,0.362,0.177,0.138
MG1655,Sp,3,5.25,0.381,0.367,0.367,0.182,0.144
MG1655,Sp,3,5.5,0.385,0.373,0.371,0.188,0.148
MG1655,Sp,3,5.75,0.396,0.381,0.38,0.196,0.15
MG1655,Sp,3,6,0.409,0.394,0.393,0.203,0.154
MG1655,Sp,3,6.25,0.422,0.406,0.406,0.215,0.162
MG1655,Sp,3,6.5,0.433,0.419,0.419,0.226,0.166
MG1655,Sp,3,6.75,0.445,0.431,0.428,0.24,0.171
MG1655,Sp,3,7,0.457,0.441,0.439,0.251,0.173
MG1655,Sp,3,7.25,0.47,0.451,0.451,0.258,0.179
MG1655,Sp,3,7.5,0.481,0.461,0.461,0.264,0.182
MG1655,Sp,3,7.75,0.492,0.471,0.471,0.275,0.185
MG1655,Sp,3,8,0.502,0.481,0.482,0.281,0.191
MG1655,Fn,1,0,0.081,0.08,0.081,0.08,0.08
MG1655,Fn,1,0.25,0.082,0.082,0.083,0.081,0.081
MG1655,Fn,1,0.5,0.083,0.083,0.084,0.082,0.081
MG1655,Fn,1,0.75,0.085,0.085,0.087,0.084,0.082
MG1655,Fn,1,1,0.088,0.089,0.09,0.084,0.083
MG1655,Fn,1,1.25,0.093,0.095,0.095,0.087,0.085
MG1655,Fn,1,1.5,0.099,0.102,0.102,0.089,0.086
MG1655,Fn,1,1.75,0.105,0.11,0.109,0.091,0.088
MG1655,Fn,1,2,0.114,0.121,0.12,0.094,0.09
MG1655,Fn,1,2.25,0.126,0.133,0.133,0.096,0.092
MG1655,Fn,1,2.5,0.141,0.151,0.15,0.098,0.093
MG1655,Fn,1,2.75,0.161,0.173,0.171,0.1,0.096
MG1655,Fn,1,3,0.192,0.197,0.198,0.104,0.098
MG1655,Fn,1,3.25,0.23,0.226,0.23,0.107,0.101
MG1655,Fn,1,3.5,0.281,0.282,0.28,0.11,0.103
MG1655,Fn,1,3.75,0.314,0.308,0.295,0.114,0.106
MG1655,Fn,1,4,0.356,0.304,0.323,0.119,0.109
MG1655,Fn,1,4.25,0.313,0.315,0.31,0.122,0.112
MG1655,Fn,1,4.5,0.332,0.341,0.337,0.125,0.113
MG1655,Fn,1,4.75,0.356,0.355,0.353,0.13,0.116
MG1655,Fn,1,5,0.381,0.364,0.362,0.137,0.119
MG1655,Fn,1,5.25,0.397,0.371,0.367,0.144,0.124
MG1655,Fn,1,5.5,0.386,0.379,0.372,0.151,0.129
MG1655,Fn,1,5.75,0.392,0.388,0.383,0.158,0.135
MG1655,Fn,1,6,0.399,0.399,0.394,0.171,0.143
MG1655,Fn,1,6.25,0.408,0.411,0.406,0.185,0.149
MG1655,Fn,1,6.5,0.42,0.423,0.417,0.193,0.155
MG1655,Fn,1,6.75,0.431,0.435,0.428,0.2,0.161
MG1655,Fn,1,7,0.439,0.446,0.439,0.21,0.164
MG1655,Fn,1,7.25,0.45,0.458,0.451,0.223,0.17
MG1655,Fn,1,7.5,0.461,0.47,0.463,0.237,0.177
MG1655,Fn,1,7.75,0.474,0.483,0.475,0.25,0.186
MG1655,Fn,1,8,0.486,0.492,0.484,0.262,0.194
MG1655,Fn,2,0,0.083,0.081,0.081,0.082,0.083
MG1655,Fn,2,0.25,0.083,0.082,0.082,0.082,0.083
MG1655,Fn,2,0.5,0.085,0.084,0.084,0.083,0.084
MG1655,Fn,2,0.75,0.088,0.087,0.086,0.084,0.085
MG1655,Fn,2,1,0.092,0.091,0.089,0.085,0.086
MG1655,Fn,2,1.25,0.097,0.095,0.094,0.087,0.087
MG1655,Fn,2,1.5,0.103,0.101,0.1,0.088,0.088
MG1655,Fn,2,1.75,0.11,0.108,0.106,0.09,0.09
MG1655,Fn,2,2,0.12,0.117,0.115,0.092,0.091
MG1655,Fn,2,2.25,0.134,0.129,0.127,0.094,0.093
MG1655,Fn,2,2.5,0.151,0.144,0.141,0.096,0.095
MG1655,Fn,2,2.75,0.172,0.164,0.16,0.099,0.096
MG1655,Fn,2,3,0.197,0.187,0.182,0.101,0.099
MG1655,Fn,2,3.25,0.231,0.214,0.209,0.104,0.101
MG1655,Fn,2,3.5,0.284,0.255,0.241,0.107,0.103
MG1655,Fn,2,3.75,0.308,0.276,0.27,0.11,0.105
MG1655,Fn,2,4,0.322,0.291,0.293,0.112,0.107
MG1655,Fn,2,4.25,0.316,0.303,0.298,0.116,0.11
MG1655,Fn,2,4.5,0.343,0.328,0.322,0.119,0.112
MG1655,Fn,2,4.75,0.362,0.353,0.351,0.123,0.114
MG1655,Fn,2,5,0.374,0.363,0.36,0.126,0.116
MG1655,Fn,2,5.25,0.383,0.368,0.366,0.131,0.119
MG1655,Fn,2,5.5,0.388,0.374,0.37,0.137,0.122
MG1655,Fn,2,5.75,0.392,0.381,0.377,0.145,0.127
MG1655,Fn,2,6,0.402,0.391,0.389,0.151,0.132
MG1655,Fn,2,6.25,0.411,0.402,0.399,0.159,0.138
MG1655,Fn,2,6.5,0.422,0.412,0.408,0.175,0.14
MG1655,Fn,2,6.75,0.433,0.426,0.421,0.201,0.145
MG1655,Fn,2,7,0.444,0.436,0.432,0.184,0.153
MG1655,Fn,2,7.25,0.455,0.447,0.443,0.192,0.157
MG1655,Fn,2,7.5,0.467,0.459,0.454,0.201,0.161
MG1655,Fn,2,7.75,0.48,0.471,0.466,0.213,0.165
MG1655,Fn,2,8,0.49,0.482,0.476,0.225,0.172
MG1655,Fn,3,0,0.083,0.083,0.082,0.08,0.082
MG1655,Fn,3,0.25,0.083,0.085,0.083,0.082,0.083
MG1655,Fn,3,0.5,0.085,0.087,0.086,0.083,0.084
MG1655,Fn,3,0.75,0.089,0.091,0.089,0.084,0.086
MG1655,Fn,3,1,0.093,0.095,0.093,0.086,0.087
MG1655,Fn,3,1.25,0.098,0.101,0.099,0.088,0.089
MG1655,Fn,3,1.5,0.105,0.109,0.106,0.09,0.091
MG1655,Fn,3,1.75,0.112,0.118,0.114,0.093,0.093
MG1655,Fn,3,2,0.123,0.13,0.125,0.096,0.096
MG1655,Fn,3,2.25,0.137,0.145,0.139,0.1,0.099
MG1655,Fn,3,2.5,0.156,0.164,0.157,0.103,0.101
MG1655,Fn,3,2.75,0.179,0.188,0.179,0.107,0.105
MG1655,Fn,3,3,0.202,0.211,0.2,0.109,0.106
MG1655,Fn,3,3.25,0.229,0.237,0.226,0.113,0.11
MG1655,Fn,3,3.5,0.261,0.292,0.272,0.118,0.113
MG1655,Fn,3,3.75,0.283,0.314,0.278,0.124,0.118
MG1655,Fn,3,4,0.306,0.298,0.286,0.129,0.122
MG1655,Fn,3,4.25,0.334,0.324,0.309,0.136,0.127
MG1655,Fn,3,4.5,0.351,0.341,0.335,0.146,0.133
MG1655,Fn,3,4.75,0.365,0.349,0.344,0.16,0.143
MG1655,Fn,3,5,0.376,0.359,0.352,0.181,0.148
MG1655,Fn,3,5.25,0.381,0.366,0.36,0.193,0.163
MG1655,Fn,3,5.5,0.385,0.376,0.369,0.179,0.16
MG1655,Fn,3,5.75,0.396,0.387,0.38,0.186,0.162
MG1655,Fn,3,6,0.409,0.401,0.393,0.198,0.168
MG1655,Fn,3,6.25,0.422,0.414,0.405,0.212,0.179
MG1655,Fn,3,6.5,0.433,0.43,0.419,0.226,0.186
MG1655,Fn,3,6.75,0.445,0.444,0.432,0.238,0.194
MG1655,Fn,3,7,0.457,0.457,0.444,0.249,0.2
MG1655,Fn,3,7.25,0.47,0.469,0.456,0.26,0.209
MG1655,Fn,3,7.5,0.481,0.48,0.465,0.268,0.216
MG1655,Fn,3,7.75,0.492,0.49,0.475,0.278,0.226
MG1655,Fn,3,8,0.502,0.501,0.486,0.292,0.236
MG1655,Lb,1,0,0.081,0.083,0.083,0.082,0.08
MG1655,Lb,1,0.25,0.082,0.084,0.084,0.082,0.08
MG1655,Lb,1,0.5,0.083,0.085,0.085,0.083,0.081
MG1655,Lb,1,0.75,0.085,0.087,0.087,0.084,0.083
MG1655,Lb,1,1,0.088,0.09,0.09,0.086,0.084
MG1655,Lb,1,1.25,0.093,0.095,0.095,0.089,0.085
MG1655,Lb,1,1.5,0.099,0.102,0.101,0.091,0.088
MG1655,Lb,1,1.75,0.105,0.107,0.107,0.094,0.09
MG1655,Lb,1,2,0.114,0.116,0.116,0.098,0.093
MG1655,Lb,1,2.25,0.126,0.127,0.127,0.101,0.096
MG1655,Lb,1,2.5,0.141,0.141,0.141,0.105,0.099
MG1655,Lb,1,2.75,0.161,0.16,0.16,0.109,0.102
MG1655,Lb,1,3,0.192,0.183,0.182,0.115,0.106
MG1655,Lb,1,3.25,0.23,0.21,0.208,0.12,0.11
MG1655,Lb,1,3.5,0.281,0.251,0.243,0.126,0.114
MG1655,Lb,1,3.75,0.314,0.276,0.269,0.133,0.119
MG1655,Lb,1,4,0.356,0.324,0.318,0.142,0.125
MG1655,Lb,1,4.25,0.313,0.3,0.296,0.15,0.13
MG1655,Lb,1,4.5,0.332,0.326,0.321,0.159,0.136
MG1655,Lb,1,4.75,0.356,0.355,0.351,0.173,0.144
MG1655,Lb,1,5,0.381,0.37,0.365,0.19,0.155
MG1655,Lb,1,5.25,0.397,0.378,0.372,0.205,0.167
MG1655,Lb,1,5.5,0.386,0.381,0.376,0.22,0.178
MG1655,Lb,1,5.75,0.392,0.389,0.385,0.239,0.193
MG1655,Lb,1,6,0.399,0.4,0.394,0.263,0.21
MG1655,Lb,1,6.25,0.408,0.41,0.406,0.281,0.225
MG1655,Lb,1,6.5,0.42,0.422,0.417,0.296,0.244
MG1655,Lb,1,6.75,0.431,0.433,0.428,0.313,0.259
MG1655,Lb,1,7,0.439,0.444,0.438,0.32,0.276
MG1655,Lb,1,7.25,0.45,0.456,0.45,0.321,0.293
MG1655,Lb,1,7.5,0.461,0.467,0.461,0.327,0.308
MG1655,Lb,1,7.75,0.474,0.479,0.472,0.332,0.317
MG1655,Lb,1,8,0.486,0.489,0.482,0.336,0.322
MG1655,Lb,2,0,0.083,0.082,0.086,0.085,0.082
MG1655,Lb,2,0.25,0.083,0.084,0.087,0.085,0.083
MG1655,Lb,2,0.5,0.085,0.085,0.088,0.086,0.084
MG1655,Lb,2,0.75,0.088,0.089,0.091,0.088,0.086
MG1655,Lb,2,1,0.092,0.092,0.095,0.09,0.088
MG1655,Lb,2,1.25,0.097,0.097,0.101,0.092,0.09
MG1655,Lb,2,1.5,0.103,0.104,0.107,0.095,0.092
MG1655,Lb,2,1.75,0.11,0.112,0.114,0.098,0.095
MG1655,Lb,2,2,0.12,0.122,0.124,0.102,0.098
MG1655,Lb,2,2.25,0.134,0.135,0.137,0.106,0.101
MG1655,Lb,2,2.5,0.151,0.151,0.153,0.11,0.104
MG1655,Lb,2,2.75,0.172,0.172,0.175,0.115,0.109
MG1655,Lb,2,3,0.197,0.196,0.198,0.12,0.112
MG1655,Lb,2,3.25,0.231,0.224,0.224,0.126,0.118
MG1655,Lb,2,3.5,0.284,0.265,0.263,0.132,0.123
MG1655,Lb,2,3.75,0.308,0.285,0.28,0.139,0.128
MG1655,Lb,2,4,0.322,0.291,0.291,0.147,0.135
MG1655,Lb,2,4.25,0.316,0.311,0.311,0.157,0.143
MG1655,Lb,2,4.5,0.343,0.336,0.338,0.169,0.151
MG1655,Lb,2,4.75,0.362,0.356,0.359,0.185,0.163
MG1655,Lb,2,5,0.374,0.365,0.369,0.2,0.175
MG1655,Lb,2,5.25,0.383,0.37,0.374,0.217,0.19
MG1655,Lb,2,5.5,0.388,0.374,0.379,0.233,0.205
MG1655,Lb,2,5.75,0.392,0.382,0.389,0.252,0.22
MG1655,Lb,2,6,0.402,0.394,0.401,0.272,0.234
MG1655,Lb,2,6.25,0.411,0.404,0.413,0.289,0.255
MG1655,Lb,2,6.5,0.422,0.413,0.421,0.305,0.27
MG1655,Lb,2,6.75,0.433,0.425,0.433,0.318,0.286
MG1655,Lb,2,7,0.444,0.436,0.444,0.322,0.304
MG1655,Lb,2,7.25,0.455,0.447,0.455,0.326,0.317
MG1655,Lb,2,7.5,0.467,0.457,0.466,0.331,0.325
MG1655,Lb,2,7.75,0.48,0.468,0.476,0.332,0.326
MG1655,Lb,2,8,0.49,0.477,0.486,0.338,0.331
MG1655,Lb,3,0,0.083,0.084,0.082,0.08,0.084
MG1655,Lb,3,0.25,0.083,0.085,0.083,0.081,0.084
MG1655,Lb,3,0.5,0.085,0.087,0.085,0.082,0.086
MG1655,Lb,3,0.75,0.089,0.09,0.088,0.084,0.088
MG1655,Lb,3,1,0.093,0.095,0.092,0.087,0.09
MG1655,Lb,3,1.25,0.098,0.1,0.097,0.089,0.093
MG1655,Lb,3,1.5,0.105,0.107,0.104,0.092,0.095
MG1655,Lb,3,1.75,0.112,0.115,0.112,0.096,0.098
MG1655,Lb,3,2,0.123,0.127,0.123,0.099,0.101
MG1655,Lb,3,2.25,0.137,0.142,0.138,0.104,0.105
MG1655,Lb,3,2.5,0.156,0.16,0.157,0.109,0.109
MG1655,Lb,3,2.75,0.179,0.183,0.179,0.115,0.115
MG1655,Lb,3,3,0.202,0.205,0.2,0.118,0.117
MG1655,Lb,3,3.25,0.229,0.23,0.224,0.123,0.122
MG1655,Lb,3,3.5,0.261,0.264,0.257,0.131,0.128
MG1655,Lb,3,3.75,0.283,0.286,0.281,0.14,0.135
MG1655,Lb,3,4,0.306,0.299,0.291,0.15,0.142
MG1655,Lb,3,4.25,0.334,0.325,0.318,0.162,0.151
MG1655,Lb,3,4.5,0.351,0.354,0.348,0.175,0.162
MG1655,Lb,3,4.75,0.365,0.368,0.363,0.192,0.174
MG1655,Lb,3,5,0.376,0.375,0.368,0.21,0.188
MG1655,Lb,3,5.25,0.381,0.38,0.373,0.228,0.205
MG1655,Lb,3,5.5,0.385,0.389,0.382,0.246,0.222
MG1655,Lb,3,5.75,0.396,0.401,0.394,0.266,0.236
MG1655,Lb,3,6,0.409,0.414,0.407,0.28,0.253
MG1655,Lb,3,6.25,0.422,0.426,0.42,0.305,0.278
MG1655,Lb,3,6.5,0.433,0.439,0.434,0.32,0.29
MG1655,Lb,3,6.75,0.445,0.452,0.447,0.326,0.311
MG1655,Lb,3,7,0.457,0.464,0.46,0.327,0.325
MG1655,Lb,3,7.25,0.47,0.476,0.472,0.334,0.331
MG1655,Lb,3,7.5,0.481,0.488,0.481,0.336,0.332
MG1655,Lb,3,7.75,0.492,0.498,0.492,0.34,0.333
