Strain,CRISPRi_system,Replicate,Time,WT,0,0.25,2,4
CFT073,Lb,3,8,0.536,0.534,0.553,0.479,0.464
UMN026,Sp,1,0,0.088,0.084,0.085,0.082,0.083
UMN026,Sp,1,0.25,0.091,0.085,0.084,0.083,0.084
UMN026,Sp,1,0.5,0.096,0.087,0.086,0.084,0.084
UMN026,Sp,1,0.75,0.103,0.09,0.09,0.085,0.085
UMN026,Sp,1,1,0.112,0.095,0.095,0.087,0.086
UMN026,Sp,1,1.25,0.126,0.101,0.101,0.087,0.086
UMN026,Sp,1,1.5,0.144,0.111,0.111,0.088,0.086
UMN026,Sp,1,1.75,0.166,0.121,0.12,0.089,0.086
UMN026,Sp,1,2,0.19,0.131,0.129,0.092,0.088
UMN026,Sp,1,2.25,0.211,0.144,0.143,0.094,0.088
UMN026,Sp,1,2.5,0.228,0.156,0.155,0.096,0.09
UMN026,Sp,1,2.75,0.292,0.188,0.186,0.099,0.091
UMN026,Sp,1,3,0.349,0.202,0.203,0.101,0.092
UMN026,Sp,1,3.25,0.383,0.215,0.215,0.103,0.094
UMN026,Sp,1,3.5,0.394,0.24,0.239,0.107,0.096
UMN026,Sp,1,3.75,0.435,0.266,0.267,0.11,0.098
UMN026,Sp,1,4,0.453,0.269,0.27,0.113,0.1
UMN026,Sp,1,4.25,0.471,0.29,0.293,0.116,0.102
UMN026,Sp,1,4.5,0.493,0.306,0.308,0.119,0.104
UMN026,Sp,1,4.75,0.485,0.319,0.316,0.121,0.105
UMN026,Sp,1,5,0.485,0.327,0.326,0.124,0.108
UMN026,Sp,1,5.25,0.489,0.336,0.338,0.127,0.11
UMN026,Sp,1,5.5,0.506,0.355,0.355,0.13,0.113
UMN026,Sp,1,5.75,0.506,0.362,0.363,0.135,0.115
UMN026,Sp,1,6,0.524,0.378,0.379,0.14,0.119
UMN026,Sp,1,6.25,0.529,0.389,0.393,0.145,0.122
UMN026,Sp,1,6.5,0.54,0.402,0.404,0.151,0.126
UMN026,Sp,1,6.75,0.54,0.411,0.411,0.157,0.132
UMN026,Sp,1,7,0.543,0.422,0.422,0.164,0.136
UMN026,Sp,1,7.25,0.542,0.432,0.433,0.171,0.141
UMN026,Sp,1,7.5,0.541,0.44,0.441,0.179,0.145
UMN026,Sp,1,7.75,0.535,0.452,0.45,0.189,0.151
UMN026,Sp,1,8,0.537,0.453,0.455,0.199,0.156
UMN026,Sp,2,0,0.081,0.078,0.08,0.078,0.081
UMN026,Sp,2,0.25,0.083,0.078,0.079,0.077,0.08
UMN026,Sp,2,0.5,0.087,0.08,0.08,0.078,0.081
UMN026,Sp,2,0.75,0.093,0.082,0.081,0.078,0.081
UMN026,Sp,2,1,0.101,0.085,0.084,0.078,0.081
UMN026,Sp,2,1.25,0.112,0.09,0.088,0.078,0.081
UMN026,Sp,2,1.5,0.126,0.096,0.094,0.078,0.082
UMN026,Sp,2,1.75,0.144,0.104,0.102,0.078,0.081
UMN026,Sp,2,2,0.165,0.112,0.11,0.079,0.081
UMN026,Sp,2,2.25,0.18,0.123,0.12,0.08,0.081
UMN026,Sp,2,2.5,0.206,0.137,0.132,0.081,0.08
UMN026,Sp,2,2.75,0.262,0.152,0.147,0.08,0.081
UMN026,Sp,2,3,0.331,0.167,0.162,0.082,0.081
UMN026,Sp,2,3.25,0.382,0.194,0.187,0.084,0.081
UMN026,Sp,2,3.5,0.395,0.219,0.207,0.085,0.082
UMN026,Sp,2,3.75,0.408,0.238,0.231,0.087,0.082
UMN026,Sp,2,4,0.431,0.263,0.256,0.089,0.083
UMN026,Sp,2,4.25,0.433,0.274,0.266,0.091,0.085
UMN026,Sp,2,4.5,0.449,0.291,0.282,0.093,0.086
UMN026,Sp,2,4.75,0.467,0.309,0.299,0.094,0.087
UMN026,Sp,2,5,0.475,0.324,0.315,0.096,0.089
UMN026,Sp,2,5.25,0.486,0.342,0.332,0.098,0.091
UMN026,Sp,2,5.5,0.501,0.356,0.344,0.1,0.092
UMN026,Sp,2,5.75,0.51,0.37,0.359,0.102,0.094
UMN026,Sp,2,6,0.518,0.385,0.373,0.104,0.095
UMN026,Sp,2,6.25,0.53,0.4,0.387,0.108,0.097
UMN026,Sp,2,6.5,0.535,0.415,0.404,0.111,0.099
UMN026,Sp,2,6.75,0.541,0.426,0.416,0.115,0.101
UMN026,Sp,2,7,0.541,0.436,0.428,0.119,0.104
UMN026,Sp,2,7.25,0.544,0.447,0.44,0.124,0.106
UMN026,Sp,2,7.5,0.531,0.45,0.443,0.13,0.108
UMN026,Sp,2,7.75,0.539,0.463,0.454,0.138,0.112
UMN026,Sp,2,8,0.539,0.472,0.46,0.146,0.115
UMN026,Sp,3,0,0.087,0.084,0.084,0.083,0.082
UMN026,Sp,3,0.25,0.09,0.085,0.085,0.084,0.082
UMN026,Sp,3,0.5,0.095,0.085,0.085,0.084,0.082
UMN026,Sp,3,0.75,0.102,0.087,0.087,0.085,0.083
UMN026,Sp,3,1,0.112,0.091,0.09,0.086,0.083
UMN026,Sp,3,1.25,0.124,0.096,0.095,0.086,0.084
UMN026,Sp,3,1.5,0.14,0.102,0.1,0.087,0.086
UMN026,Sp,3,1.75,0.162,0.112,0.11,0.088,0.085
UMN026,Sp,3,2,0.184,0.123,0.12,0.088,0.085
UMN026,Sp,3,2.25,0.202,0.135,0.134,0.089,0.086
UMN026,Sp,3,2.5,0.229,0.15,0.148,0.09,0.087
UMN026,Sp,3,2.75,0.281,0.164,0.163,0.091,0.086
UMN026,Sp,3,3,0.332,0.194,0.194,0.091,0.088
UMN026,Sp,3,3.25,0.363,0.209,0.208,0.093,0.088
UMN026,Sp,3,3.5,0.385,0.238,0.237,0.095,0.091
UMN026,Sp,3,3.75,0.404,0.255,0.254,0.096,0.091
UMN026,Sp,3,4,0.425,0.27,0.268,0.098,0.093
UMN026,Sp,3,4.25,0.429,0.273,0.271,0.1,0.094
UMN026,Sp,3,4.5,0.443,0.287,0.286,0.101,0.095
UMN026,Sp,3,4.75,0.457,0.303,0.301,0.103,0.097
UMN026,Sp,3,5,0.464,0.312,0.312,0.105,0.098
UMN026,Sp,3,5.25,0.486,0.338,0.335,0.107,0.099
UMN026,Sp,3,5.5,0.495,0.353,0.351,0.108,0.1
UMN026,Sp,3,5.75,0.496,0.361,0.363,0.11,0.101
UMN026,Sp,3,6,0.509,0.375,0.377,0.112,0.103
UMN026,Sp,3,6.25,0.517,0.395,0.398,0.114,0.103
UMN026,Sp,3,6.5,0.519,0.404,0.403,0.116,0.104
UMN026,Sp,3,6.75,0.521,0.419,0.419,0.12,0.107
UMN026,Sp,3,7,0.519,0.426,0.428,0.124,0.11
UMN026,Sp,3,7.25,0.523,0.439,0.446,0.129,0.111
UMN026,Sp,3,7.5,0.516,0.45,0.454,0.133,0.114
UMN026,Sp,3,7.75,0.511,0.459,0.461,0.138,0.117
UMN026,Sp,3,8,0.513,0.466,0.468,0.142,0.121
UMN026,Fn,1,0,0.088,0.085,0.086,0.083,0.085
UMN026,Fn,1,0.25,0.091,0.086,0.089,0.087,0.086
UMN026,Fn,1,0.5,0.096,0.091,0.093,0.091,0.089
UMN026,Fn,1,0.75,0.103,0.098,0.101,0.092,0.092
UMN026,Fn,1,1,0.112,0.107,0.11,0.096,0.096
UMN026,Fn,1,1.25,0.126,0.12,0.124,0.101,0.101
UMN026,Fn,1,1.5,0.144,0.138,0.141,0.107,0.107
UMN026,Fn,1,1.75,0.166,0.161,0.164,0.114,0.112
UMN026,Fn,1,2,0.19,0.187,0.191,0.12,0.117
UMN026,Fn,1,2.25,0.211,0.206,0.214,0.129,0.123
UMN026,Fn,1,2.5,0.228,0.241,0.243,0.139,0.13
UMN026,Fn,1,2.75,0.292,0.298,0.298,0.152,0.138
UMN026,Fn,1,3,0.349,0.388,0.388,0.168,0.148
UMN026,Fn,1,3.25,0.383,0.383,0.386,0.187,0.159
UMN026,Fn,1,3.5,0.394,0.385,0.384,0.211,0.173
UMN026,Fn,1,3.75,0.435,0.429,0.421,0.241,0.19
UMN026,Fn,1,4,0.453,0.444,0.441,0.276,0.21
UMN026,Fn,1,4.25,0.471,0.463,0.456,0.345,0.239
UMN026,Fn,1,4.5,0.493,0.497,0.492,0.325,0.298
UMN026,Fn,1,4.75,0.485,0.482,0.485,0.336,0.346
UMN026,Fn,1,5,0.485,0.498,0.501,0.356,0.392
UMN026,Fn,1,5.25,0.489,0.509,0.509,0.374,0.45
UMN026,Fn,1,5.5,0.506,0.524,0.53,0.387,0.497
UMN026,Fn,1,5.75,0.506,0.536,0.544,0.4,0.518
UMN026,Fn,1,6,0.524,0.547,0.553,0.416,0.512
UMN026,Fn,1,6.25,0.529,0.563,0.57,0.429,0.426
UMN026,Fn,1,6.5,0.54,0.572,0.577,0.443,0.447
UMN026,Fn,1,6.75,0.54,0.577,0.588,0.45,0.465
UMN026,Fn,1,7,0.543,0.593,0.596,0.461,0.484
UMN026,Fn,1,7.25,0.542,0.59,0.601,0.47,0.498
UMN026,Fn,1,7.5,0.541,0.589,0.616,0.482,0.529
UMN026,Fn,1,7.75,0.535,0.62,0.628,0.487,0.607
UMN026,Fn,1,8,0.537,0.612,0.622,0.497,0.649
UMN026,Fn,2,0,0.081,0.082,0.079,0.08,0.081
UMN026,Fn,2,0.25,0.083,0.084,0.081,0.081,0.082
UMN026,Fn,2,0.5,0.087,0.087,0.084,0.084,0.084
UMN026,Fn,2,0.75,0.093,0.093,0.09,0.086,0.087
UMN026,Fn,2,1,0.101,0.101,0.098,0.091,0.091
UMN026,Fn,2,1.25,0.112,0.111,0.108,0.095,0.094
UMN026,Fn,2,1.5,0.126,0.125,0.121,0.101,0.099
UMN026,Fn,2,1.75,0.144,0.143,0.138,0.106,0.103
UMN026,Fn,2,2,0.165,0.166,0.162,0.112,0.108
UMN026,Fn,2,2.25,0.18,0.189,0.186,0.118,0.113
UMN026,Fn,2,2.5,0.206,0.223,0.218,0.126,0.119
UMN026,Fn,2,2.75,0.262,0.26,0.254,0.136,0.126
UMN026,Fn,2,3,0.331,0.318,0.308,0.151,0.136
UMN026,Fn,2,3.25,0.382,0.359,0.347,0.168,0.146
UMN026,Fn,2,3.5,0.395,0.389,0.381,0.19,0.161
UMN026,Fn,2,3.75,0.408,0.409,0.391,0.235,0.176
UMN026,Fn,2,4,0.431,0.438,0.42,0.276,0.191
UMN026,Fn,2,4.25,0.433,0.451,0.436,0.333,0.23
UMN026,Fn,2,4.5,0.449,0.471,0.451,0.352,0.268
UMN026,Fn,2,4.75,0.467,0.487,0.472,0.324,0.314
UMN026,Fn,2,5,0.475,0.5,0.487,0.338,0.366
UMN026,Fn,2,5.25,0.486,0.512,0.5,0.358,0.409
UMN026,Fn,2,5.5,0.501,0.532,0.518,0.373,0.43
UMN026,Fn,2,5.75,0.51,0.544,0.527,0.383,0.432
UMN026,Fn,2,6,0.518,0.554,0.536,0.394,0.381
UMN026,Fn,2,6.25,0.53,0.564,0.548,0.412,0.406
UMN026,Fn,2,6.5,0.535,0.57,0.557,0.43,0.428
UMN026,Fn,2,6.75,0.541,0.575,0.562,0.443,0.448
UMN026,Fn,2,7,0.541,0.584,0.566,0.454,0.463
UMN026,Fn,2,7.25,0.544,0.583,0.578,0.463,0.486
UMN026,Fn,2,7.5,0.531,0.579,0.569,0.475,0.554
UMN026,Fn,2,7.75,0.539,0.585,0.579,0.486,0.578
UMN026,Fn,2,8,0.539,0.589,0.599,0.495,0.591
UMN026,Fn,3,0,0.087,0.088,0.088,0.086,0.086
UMN026,Fn,3,0.25,0.09,0.09,0.09,0.087,0.087
UMN026,Fn,3,0.5,0.095,0.093,0.093,0.09,0.089
UMN026,Fn,3,0.75,0.102,0.099,0.099,0.093,0.092
UMN026,Fn,3,1,0.112,0.108,0.109,0.098,0.096
UMN026,Fn,3,1.25,0.124,0.119,0.12,0.103,0.1
UMN026,Fn,3,1.5,0.14,0.133,0.135,0.109,0.105
UMN026,Fn,3,1.75,0.162,0.154,0.157,0.116,0.111
UMN026,Fn,3,2,0.184,0.178,0.182,0.124,0.117
UMN026,Fn,3,2.25,0.202,0.206,0.21,0.132,0.124
UMN026,Fn,3,2.5,0.229,0.245,0.247,0.143,0.131
UMN026,Fn,3,2.75,0.281,0.298,0.297,0.158,0.141
UMN026,Fn,3,3,0.332,0.338,0.338,0.172,0.15
UMN026,Fn,3,3.25,0.363,0.348,0.348,0.191,0.163
UMN026,Fn,3,3.5,0.385,0.374,0.371,0.215,0.178
UMN026,Fn,3,3.75,0.404,0.395,0.395,0.245,0.196
UMN026,Fn,3,4,0.425,0.409,0.41,0.281,0.217
UMN026,Fn,3,4.25,0.429,0.426,0.424,0.326,0.246
UMN026,Fn,3,4.5,0.443,0.439,0.439,0.328,0.271
UMN026,Fn,3,4.75,0.457,0.457,0.46,0.348,0.352
UMN026,Fn,3,5,0.464,0.474,0.472,0.365,0.374
UMN026,Fn,3,5.25,0.486,0.491,0.495,0.39,0.405
UMN026,Fn,3,5.5,0.495,0.508,0.512,0.405,0.449
UMN026,Fn,3,5.75,0.496,0.501,0.517,0.416,0.391
UMN026,Fn,3,6,0.509,0.528,0.537,0.428,0.413
UMN026,Fn,3,6.25,0.517,0.53,0.545,0.446,0.437
UMN026,Fn,3,6.5,0.519,0.554,0.554,0.461,0.459
UMN026,Fn,3,6.75,0.521,0.563,0.564,0.467,0.482
UMN026,Fn,3,7,0.519,0.562,0.565,0.473,0.491
UMN026,Fn,3,7.25,0.523,0.578,0.583,0.483,0.507
UMN026,Fn,3,7.5,0.516,0.579,0.582,0.491,0.603
UMN026,Fn,3,7.75,0.511,0.575,0.579,0.497,0.613
UMN026,Fn,3,8,0.513,0.573,0.578,0.505,0.626
UMN026,Lb,1,0,0.088,0.086,0.084,0.083,0.085
UMN026,Lb,1,0.25,0.091,0.088,0.086,0.085,0.087
UMN026,Lb,1,0.5,0.096,0.092,0.091,0.089,0.09
UMN026,Lb,1,0.75,0.103,0.099,0.098,0.094,0.095
UMN026,Lb,1,1,0.112,0.109,0.107,0.1,0.1
UMN026,Lb,1,1.25,0.126,0.121,0.119,0.108,0.106
UMN026,Lb,1,1.5,0.144,0.139,0.136,0.119,0.114
UMN026,Lb,1,1.75,0.166,0.16,0.159,0.134,0.125
UMN026,Lb,1,2,0.19,0.189,0.187,0.155,0.14
UMN026,Lb,1,2.25,0.211,0.21,0.209,0.177,0.159
UMN026,Lb,1,2.5,0.228,0.244,0.236,0.184,0.178
UMN026,Lb,1,2.75,0.292,0.299,0.295,0.229,0.186
UMN026,Lb,1,3,0.349,0.38,0.378,0.334,0.211
UMN026,Lb,1,3.25,0.383,0.377,0.37,0.34,0.291
UMN026,Lb,1,3.5,0.394,0.375,0.376,0.324,0.29
UMN026,Lb,1,3.75,0.435,0.416,0.418,0.373,0.347
UMN026,Lb,1,4,0.453,0.438,0.437,0.39,0.352
UMN026,Lb,1,4.25,0.471,0.453,0.452,0.404,0.36
UMN026,Lb,1,4.5,0.493,0.482,0.486,0.433,0.386
UMN026,Lb,1,4.75,0.485,0.483,0.483,0.434,0.386
UMN026,Lb,1,5,0.485,0.497,0.502,0.45,0.402
UMN026,Lb,1,5.25,0.489,0.509,0.514,0.46,0.415
UMN026,Lb,1,5.5,0.506,0.53,0.529,0.482,0.428
UMN026,Lb,1,5.75,0.506,0.548,0.545,0.499,0.447
UMN026,Lb,1,6,0.524,0.558,0.556,0.514,0.458
UMN026,Lb,1,6.25,0.529,0.575,0.574,0.53,0.478
UMN026,Lb,1,6.5,0.54,0.584,0.582,0.542,0.489
UMN026,Lb,1,6.75,0.54,0.592,0.581,0.555,0.505
UMN026,Lb,1,7,0.543,0.603,0.602,0.563,0.515
UMN026,Lb,1,7.25,0.542,0.605,0.616,0.575,0.523
UMN026,Lb,1,7.5,0.541,0.619,0.619,0.584,0.535
UMN026,Lb,1,7.75,0.535,0.637,0.637,0.617,0.556
UMN026,Lb,1,8,0.537,0.633,0.633,0.61,0.564
UMN026,Lb,2,0,0.081,0.08,0.081,0.079,0.081
UMN026,Lb,2,0.25,0.083,0.082,0.083,0.08,0.082
UMN026,Lb,2,0.5,0.087,0.085,0.086,0.083,0.085
UMN026,Lb,2,0.75,0.093,0.091,0.093,0.087,0.088
UMN026,Lb,2,1,0.101,0.099,0.102,0.092,0.092
UMN026,Lb,2,1.25,0.112,0.109,0.111,0.097,0.096
UMN026,Lb,2,1.5,0.126,0.123,0.124,0.106,0.102
UMN026,Lb,2,1.75,0.144,0.14,0.142,0.115,0.111
UMN026,Lb,2,2,0.165,0.165,0.168,0.129,0.12
UMN026,Lb,2,2.25,0.18,0.187,0.189,0.145,0.132
UMN026,Lb,2,2.5,0.206,0.226,0.229,0.164,0.149
UMN026,Lb,2,2.75,0.262,0.284,0.294,0.2,0.164
UMN026,Lb,2,3,0.331,0.339,0.355,0.242,0.181
UMN026,Lb,2,3.25,0.382,0.363,0.367,0.309,0.217
UMN026,Lb,2,3.5,0.395,0.381,0.392,0.328,0.302
UMN026,Lb,2,3.75,0.408,0.406,0.412,0.335,0.303
UMN026,Lb,2,4,0.431,0.434,0.442,0.366,0.333
UMN026,Lb,2,4.25,0.433,0.45,0.457,0.38,0.342
UMN026,Lb,2,4.5,0.449,0.468,0.476,0.4,0.357
UMN026,Lb,2,4.75,0.467,0.486,0.497,0.42,0.372
UMN026,Lb,2,5,0.475,0.501,0.51,0.437,0.385
UMN026,Lb,2,5.25,0.486,0.513,0.525,0.452,0.398
UMN026,Lb,2,5.5,0.501,0.525,0.538,0.464,0.412
UMN026,Lb,2,5.75,0.51,0.542,0.548,0.475,0.423
UMN026,Lb,2,6,0.518,0.553,0.563,0.49,0.44
UMN026,Lb,2,6.25,0.53,0.565,0.573,0.501,0.451
UMN026,Lb,2,6.5,0.535,0.574,0.58,0.513,0.469
UMN026,Lb,2,6.75,0.541,0.583,0.586,0.529,0.484
UMN026,Lb,2,7,0.541,0.592,0.598,0.54,0.5
UMN026,Lb,2,7.25,0.544,0.598,0.601,0.551,0.508
UMN026,Lb,2,7.5,0.531,0.604,0.608,0.573,0.524
UMN026,Lb,2,7.75,0.539,0.627,0.629,0.589,0.536
UMN026,Lb,2,8,0.539,0.625,0.629,0.594,0.549
UMN026,Lb,3,0,0.087,0.088,0.087,0.087,0.086
UMN026,Lb,3,0.25,0.09,0.09,0.089,0.087,0.087
UMN026,Lb,3,0.5,0.095,0.093,0.092,0.09,0.088
UMN026,Lb,3,0.75,0.102,0.098,0.098,0.093,0.091
UMN026,Lb,3,1,0.112,0.107,0.107,0.098,0.096
UMN026,Lb,3,1.25,0.124,0.118,0.117,0.105,0.101
UMN026,Lb,3,1.5,0.14,0.132,0.132,0.112,0.107
UMN026,Lb,3,1.75,0.162,0.152,0.151,0.122,0.115
UMN026,Lb,3,2,0.184,0.176,0.176,0.136,0.125
UMN026,Lb,3,2.25,0.202,0.203,0.201,0.159,0.14
UMN026,Lb,3,2.5,0.229,0.24,0.238,0.184,0.161
UMN026,Lb,3,2.75,0.281,0.266,0.266,0.2,0.183
UMN026,Lb,3,3,0.332,0.318,0.313,0.239,0.197
UMN026,Lb,3,3.25,0.363,0.345,0.348,0.298,0.225
UMN026,Lb,3,3.5,0.385,0.37,0.371,0.336,0.297
UMN026,Lb,3,3.75,0.404,0.39,0.392,0.347,0.315
UMN026,Lb,3,4,0.425,0.408,0.411,0.357,0.325
UMN026,Lb,3,4.25,0.429,0.426,0.428,0.377,0.336
UMN026,Lb,3,4.5,0.443,0.443,0.446,0.392,0.351
UMN026,Lb,3,4.75,0.457,0.467,0.465,0.418,0.373
UMN026,Lb,3,5,0.464,0.481,0.48,0.436,0.385
UMN026,Lb,3,5.25,0.486,0.504,0.502,0.451,0.398
UMN026,Lb,3,5.5,0.495,0.522,0.52,0.475,0.422
UMN026,Lb,3,5.75,0.496,0.524,0.531,0.468,0.421
UMN026,Lb,3,6,0.509,0.541,0.544,0.49,0.439
UMN026,Lb,3,6.25,0.517,0.544,0.556,0.498,0.452
UMN026,Lb,3,6.5,0.519,0.568,0.567,0.53,0.48
UMN026,Lb,3,6.75,0.521,0.578,0.582,0.544,0.492
UMN026,Lb,3,7,0.519,0.581,0.583,0.552,0.503
UMN026,Lb,3,7.25,0.523,0.594,0.583,0.57,0.52
UMN026,Lb,3,7.5,0.516,0.594,0.592,0.581,0.532
UMN026,Lb,3,7.75,0.511,0.592,0.594,0.582,0.54
