Strain,CRISPRi_system,Replicate,Time,WT,0,0.25,2,4
UMN026,Lb,3,8,0.513,0.595,0.593,0.583,0.544
Nissle,Sp,1,0,0.083,0.084,0.084,0.083,0.082
Nissle,Sp,1,0.25,0.086,0.087,0.087,0.087,0.085
Nissle,Sp,1,0.5,0.092,0.092,0.092,0.091,0.088
Nissle,Sp,1,0.75,0.099,0.097,0.098,0.096,0.092
Nissle,Sp,1,1,0.11,0.109,0.109,0.103,0.099
Nissle,Sp,1,1.25,0.128,0.124,0.124,0.111,0.104
Nissle,Sp,1,1.5,0.146,0.141,0.141,0.119,0.112
Nissle,Sp,1,1.75,0.167,0.162,0.162,0.128,0.12
Nissle,Sp,1,2,0.19,0.182,0.181,0.138,0.129
Nissle,Sp,1,2.25,0.21,0.2,0.203,0.15,0.14
Nissle,Sp,1,2.5,0.229,0.225,0.227,0.162,0.15
Nissle,Sp,1,2.75,0.249,0.25,0.247,0.177,0.166
Nissle,Sp,1,3,0.269,0.277,0.273,0.194,0.18
Nissle,Sp,1,3.25,0.325,0.348,0.339,0.215,0.198
Nissle,Sp,1,3.5,0.353,0.357,0.349,0.238,0.22
Nissle,Sp,1,3.75,0.36,0.369,0.358,0.263,0.244
Nissle,Sp,1,4,0.371,0.381,0.378,0.292,0.27
Nissle,Sp,1,4.25,0.384,0.392,0.391,0.316,0.296
Nissle,Sp,1,4.5,0.399,0.395,0.39,0.332,0.317
Nissle,Sp,1,4.75,0.411,0.409,0.406,0.36,0.335
Nissle,Sp,1,5,0.421,0.421,0.416,0.388,0.361
Nissle,Sp,1,5.25,0.425,0.42,0.415,0.41,0.39
Nissle,Sp,1,5.5,0.437,0.435,0.432,0.422,0.409
Nissle,Sp,1,5.75,0.437,0.437,0.438,0.428,0.418
Nissle,Sp,1,6,0.445,0.447,0.446,0.43,0.423
Nissle,Sp,1,6.25,0.453,0.456,0.455,0.435,0.431
Nissle,Sp,1,6.5,0.458,0.46,0.461,0.428,0.424
Nissle,Sp,1,6.75,0.469,0.469,0.47,0.433,0.431
Nissle,Sp,1,7,0.474,0.471,0.475,0.43,0.425
Nissle,Sp,1,7.25,0.479,0.48,0.483,0.432,0.428
Nissle,Sp,1,7.5,0.488,0.485,0.488,0.434,0.43
Nissle,Sp,1,7.75,0.49,0.49,0.492,0.435,0.428
Nissle,Sp,1,8,0.497,0.495,0.495,0.433,0.428
Nissle,Sp,2,0,0.084,0.082,0.081,0.081,0.078
Nissle,Sp,2,0.25,0.089,0.084,0.084,0.082,0.08
Nissle,Sp,2,0.5,0.097,0.087,0.088,0.086,0.083
Nissle,Sp,2,0.75,0.097,0.093,0.093,0.09,0.087
Nissle,Sp,2,1,0.104,0.099,0.099,0.094,0.091
Nissle,Sp,2,1.25,0.119,0.112,0.112,0.1,0.095
Nissle,Sp,2,1.5,0.134,0.129,0.127,0.106,0.102
Nissle,Sp,2,1.75,0.152,0.143,0.141,0.112,0.109
Nissle,Sp,2,2,0.176,0.167,0.161,0.121,0.117
Nissle,Sp,2,2.25,0.196,0.187,0.182,0.129,0.126
Nissle,Sp,2,2.5,0.203,0.203,0.204,0.14,0.136
Nissle,Sp,2,2.75,0.222,0.238,0.227,0.154,0.148
Nissle,Sp,2,3,0.228,0.254,0.251,0.169,0.162
Nissle,Sp,2,3.25,0.303,0.325,0.278,0.186,0.177
Nissle,Sp,2,3.5,0.315,0.354,0.346,0.206,0.195
Nissle,Sp,2,3.75,0.319,0.372,0.365,0.226,0.216
Nissle,Sp,2,4,0.337,0.376,0.37,0.249,0.237
Nissle,Sp,2,4.25,0.352,0.381,0.378,0.275,0.262
Nissle,Sp,2,4.5,0.374,0.388,0.387,0.296,0.29
Nissle,Sp,2,4.75,0.387,0.397,0.391,0.314,0.307
Nissle,Sp,2,5,0.404,0.413,0.406,0.342,0.325
Nissle,Sp,2,5.25,0.418,0.421,0.414,0.365,0.353
Nissle,Sp,2,5.5,0.434,0.429,0.42,0.381,0.374
Nissle,Sp,2,5.75,0.451,0.438,0.43,0.394,0.392
Nissle,Sp,2,6,0.472,0.446,0.437,0.403,0.401
Nissle,Sp,2,6.25,0.485,0.455,0.454,0.408,0.41
Nissle,Sp,2,6.5,0.496,0.462,0.461,0.412,0.413
Nissle,Sp,2,6.75,0.501,0.468,0.468,0.412,0.412
Nissle,Sp,2,7,0.51,0.476,0.474,0.413,0.417
Nissle,Sp,2,7.25,0.525,0.487,0.483,0.416,0.42
Nissle,Sp,2,7.5,0.539,0.491,0.484,0.418,0.422
Nissle,Sp,2,7.75,0.553,0.495,0.488,0.42,0.424
Nissle,Sp,2,8,0.56,0.496,0.49,0.42,0.425
Nissle,Sp,3,0,0.088,0.087,0.086,0.086,0.082
Nissle,Sp,3,0.25,0.089,0.088,0.088,0.087,0.085
Nissle,Sp,3,0.5,0.092,0.092,0.092,0.09,0.087
Nissle,Sp,3,0.75,0.098,0.099,0.098,0.095,0.091
Nissle,Sp,3,1,0.105,0.108,0.107,0.1,0.097
Nissle,Sp,3,1.25,0.116,0.123,0.121,0.106,0.102
Nissle,Sp,3,1.5,0.13,0.138,0.137,0.114,0.109
Nissle,Sp,3,1.75,0.146,0.155,0.152,0.123,0.117
Nissle,Sp,3,2,0.166,0.177,0.173,0.133,0.126
Nissle,Sp,3,2.25,0.188,0.202,0.2,0.144,0.136
Nissle,Sp,3,2.5,0.207,0.218,0.211,0.156,0.147
Nissle,Sp,3,2.75,0.233,0.25,0.24,0.168,0.158
Nissle,Sp,3,3,0.245,0.273,0.269,0.184,0.173
Nissle,Sp,3,3.25,0.306,0.311,0.303,0.201,0.191
Nissle,Sp,3,3.5,0.336,0.352,0.347,0.222,0.213
Nissle,Sp,3,3.75,0.352,0.368,0.371,0.247,0.233
Nissle,Sp,3,4,0.364,0.377,0.377,0.276,0.259
Nissle,Sp,3,4.25,0.378,0.39,0.392,0.312,0.288
Nissle,Sp,3,4.5,0.392,0.405,0.409,0.335,0.318
Nissle,Sp,3,4.75,0.397,0.408,0.413,0.36,0.335
Nissle,Sp,3,5,0.418,0.425,0.431,0.383,0.363
Nissle,Sp,3,5.25,0.427,0.432,0.439,0.397,0.386
Nissle,Sp,3,5.5,0.435,0.443,0.448,0.406,0.402
Nissle,Sp,3,5.75,0.447,0.451,0.454,0.413,0.407
Nissle,Sp,3,6,0.445,0.451,0.457,0.422,0.42
Nissle,Sp,3,6.25,0.454,0.463,0.466,0.419,0.419
Nissle,Sp,3,6.5,0.466,0.474,0.477,0.426,0.423
Nissle,Sp,3,6.75,0.474,0.477,0.482,0.427,0.429
Nissle,Sp,3,7,0.479,0.479,0.484,0.426,0.427
Nissle,Sp,3,7.25,0.487,0.49,0.494,0.427,0.425
Nissle,Sp,3,7.5,0.495,0.495,0.496,0.429,0.426
Nissle,Sp,3,7.75,0.498,0.487,0.492,0.436,0.43
Nissle,Sp,3,8,0.505,0.489,0.494,0.437,0.432
Nissle,Fn,1,0,0.083,0.082,0.095,0.084,0.083
Nissle,Fn,1,0.25,0.086,0.084,0.097,0.087,0.085
Nissle,Fn,1,0.5,0.092,0.089,0.098,0.091,0.089
Nissle,Fn,1,0.75,0.099,0.096,0.106,0.096,0.094
Nissle,Fn,1,1,0.11,0.107,0.126,0.103,0.101
Nissle,Fn,1,1.25,0.128,0.123,0.139,0.112,0.109
Nissle,Fn,1,1.5,0.146,0.141,0.154,0.123,0.12
Nissle,Fn,1,1.75,0.167,0.161,0.174,0.136,0.131
Nissle,Fn,1,2,0.19,0.183,0.196,0.149,0.143
Nissle,Fn,1,2.25,0.21,0.209,0.219,0.163,0.155
Nissle,Fn,1,2.5,0.229,0.229,0.248,0.174,0.167
Nissle,Fn,1,2.75,0.249,0.256,0.273,0.191,0.182
Nissle,Fn,1,3,0.269,0.269,0.29,0.209,0.199
Nissle,Fn,1,3.25,0.325,0.322,0.338,0.23,0.218
Nissle,Fn,1,3.5,0.353,0.357,0.355,0.256,0.241
Nissle,Fn,1,3.75,0.36,0.373,0.373,0.279,0.267
Nissle,Fn,1,4,0.371,0.387,0.39,0.302,0.291
Nissle,Fn,1,4.25,0.384,0.4,0.402,0.325,0.314
Nissle,Fn,1,4.5,0.399,0.401,0.406,0.339,0.334
Nissle,Fn,1,4.75,0.411,0.415,0.423,0.35,0.342
Nissle,Fn,1,5,0.421,0.425,0.436,0.363,0.354
Nissle,Fn,1,5.25,0.425,0.424,0.44,0.38,0.371
Nissle,Fn,1,5.5,0.437,0.44,0.453,0.394,0.386
Nissle,Fn,1,5.75,0.437,0.446,0.46,0.404,0.399
Nissle,Fn,1,6,0.445,0.455,0.466,0.416,0.411
Nissle,Fn,1,6.25,0.453,0.465,0.475,0.425,0.419
Nissle,Fn,1,6.5,0.458,0.473,0.48,0.43,0.427
Nissle,Fn,1,6.75,0.469,0.479,0.491,0.438,0.434
Nissle,Fn,1,7,0.474,0.489,0.494,0.444,0.443
Nissle,Fn,1,7.25,0.479,0.495,0.503,0.449,0.448
Nissle,Fn,1,7.5,0.488,0.499,0.506,0.453,0.453
Nissle,Fn,1,7.75,0.49,0.504,0.51,0.456,0.457
Nissle,Fn,1,8,0.497,0.516,0.513,0.46,0.463
Nissle,Fn,2,0,0.084,0.082,0.083,0.082,0.081
Nissle,Fn,2,0.25,0.089,0.085,0.086,0.084,0.083
Nissle,Fn,2,0.5,0.097,0.089,0.09,0.088,0.086
Nissle,Fn,2,0.75,0.097,0.095,0.097,0.092,0.091
Nissle,Fn,2,1,0.104,0.104,0.106,0.099,0.097
Nissle,Fn,2,1.25,0.119,0.121,0.122,0.106,0.103
Nissle,Fn,2,1.5,0.134,0.141,0.139,0.116,0.111
Nissle,Fn,2,1.75,0.152,0.157,0.153,0.127,0.121
Nissle,Fn,2,2,0.176,0.184,0.174,0.138,0.133
Nissle,Fn,2,2.25,0.196,0.207,0.193,0.149,0.143
Nissle,Fn,2,2.5,0.203,0.226,0.216,0.161,0.154
Nissle,Fn,2,2.75,0.222,0.251,0.242,0.176,0.168
Nissle,Fn,2,3,0.228,0.268,0.264,0.194,0.182
Nissle,Fn,2,3.25,0.303,0.341,0.277,0.211,0.199
Nissle,Fn,2,3.5,0.315,0.358,0.312,0.233,0.217
Nissle,Fn,2,3.75,0.319,0.374,0.352,0.255,0.238
Nissle,Fn,2,4,0.337,0.378,0.366,0.277,0.26
Nissle,Fn,2,4.25,0.352,0.388,0.371,0.303,0.284
Nissle,Fn,2,4.5,0.374,0.401,0.38,0.326,0.304
Nissle,Fn,2,4.75,0.387,0.412,0.389,0.331,0.323
Nissle,Fn,2,5,0.404,0.428,0.401,0.346,0.329
Nissle,Fn,2,5.25,0.418,0.438,0.415,0.36,0.339
Nissle,Fn,2,5.5,0.434,0.449,0.428,0.371,0.354
Nissle,Fn,2,5.75,0.451,0.456,0.435,0.386,0.37
Nissle,Fn,2,6,0.472,0.465,0.443,0.393,0.382
Nissle,Fn,2,6.25,0.485,0.477,0.453,0.402,0.391
Nissle,Fn,2,6.5,0.496,0.485,0.46,0.408,0.4
Nissle,Fn,2,6.75,0.501,0.494,0.47,0.415,0.408
Nissle,Fn,2,7,0.51,0.499,0.477,0.423,0.415
Nissle,Fn,2,7.25,0.525,0.509,0.487,0.431,0.42
Nissle,Fn,2,7.5,0.539,0.504,0.488,0.439,0.427
Nissle,Fn,2,7.75,0.553,0.508,0.491,0.442,0.432
Nissle,Fn,2,8,0.56,0.515,0.499,0.45,0.439
Nissle,Fn,3,0,0.088,0.086,0.086,0.086,0.088
Nissle,Fn,3,0.25,0.089,0.086,0.088,0.087,0.088
Nissle,Fn,3,0.5,0.092,0.089,0.09,0.089,0.091
Nissle,Fn,3,0.75,0.098,0.095,0.095,0.093,0.094
Nissle,Fn,3,1,0.105,0.101,0.101,0.097,0.099
Nissle,Fn,3,1.25,0.116,0.111,0.11,0.101,0.103
Nissle,Fn,3,1.5,0.13,0.122,0.121,0.106,0.108
Nissle,Fn,3,1.75,0.146,0.137,0.134,0.113,0.114
Nissle,Fn,3,2,0.166,0.158,0.151,0.119,0.12
Nissle,Fn,3,2.25,0.188,0.179,0.172,0.128,0.128
Nissle,Fn,3,2.5,0.207,0.205,0.195,0.136,0.137
Nissle,Fn,3,2.75,0.233,0.233,0.22,0.145,0.146
Nissle,Fn,3,3,0.245,0.262,0.25,0.157,0.157
Nissle,Fn,3,3.25,0.306,0.296,0.278,0.171,0.17
Nissle,Fn,3,3.5,0.336,0.341,0.329,0.186,0.186
Nissle,Fn,3,3.75,0.352,0.365,0.358,0.2,0.198
Nissle,Fn,3,4,0.364,0.363,0.357,0.216,0.214
Nissle,Fn,3,4.25,0.378,0.375,0.371,0.234,0.233
Nissle,Fn,3,4.5,0.392,0.394,0.389,0.252,0.25
Nissle,Fn,3,4.75,0.397,0.394,0.389,0.271,0.268
Nissle,Fn,3,5,0.418,0.411,0.404,0.288,0.285
Nissle,Fn,3,5.25,0.427,0.422,0.417,0.306,0.303
Nissle,Fn,3,5.5,0.435,0.434,0.432,0.324,0.321
Nissle,Fn,3,5.75,0.447,0.448,0.443,0.343,0.339
Nissle,Fn,3,6,0.445,0.453,0.449,0.359,0.356
Nissle,Fn,3,6.25,0.454,0.461,0.455,0.373,0.373
Nissle,Fn,3,6.5,0.466,0.475,0.47,0.377,0.379
Nissle,Fn,3,6.75,0.474,0.484,0.48,0.386,0.386
Nissle,Fn,3,7,0.479,0.488,0.484,0.397,0.397
Nissle,Fn,3,7.25,0.487,0.495,0.489,0.404,0.404
Nissle,Fn,3,7.5,0.495,0.5,0.5,0.413,0.414
Nissle,Fn,3,7.75,0.498,0.496,0.499,0.419,0.421
Nissle,Fn,3,8,0.505,0.498,0.5,0.426,0.428
Nissle,Lb,1,0,0.083,0.082,0.081,0.083,0.083
Nissle,Lb,1,0.25,0.086,0.084,0.083,0.085,0.085
Nissle,Lb,1,0.5,0.092,0.088,0.087,0.089,0.088
Nissle,Lb,1,0.75,0.099,0.095,0.093,0.094,0.092
Nissle,Lb,1,1,0.11,0.105,0.104,0.101,0.099
Nissle,Lb,1,1.25,0.128,0.117,0.119,0.111,0.108
Nissle,Lb,1,1.5,0.146,0.132,0.135,0.12,0.117
Nissle,Lb,1,1.75,0.167,0.152,0.154,0.133,0.128
Nissle,Lb,1,2,0.19,0.173,0.176,0.147,0.139
Nissle,Lb,1,2.25,0.21,0.195,0.197,0.16,0.152
Nissle,Lb,1,2.5,0.229,0.213,0.225,0.175,0.168
Nissle,Lb,1,2.75,0.249,0.227,0.254,0.191,0.181
Nissle,Lb,1,3,0.269,0.308,0.267,0.21,0.198
Nissle,Lb,1,3.25,0.325,0.32,0.335,0.248,0.219
Nissle,Lb,1,3.5,0.353,0.342,0.351,0.269,0.259
Nissle,Lb,1,3.75,0.36,0.352,0.357,0.3,0.265
Nissle,Lb,1,4,0.371,0.363,0.372,0.329,0.31
Nissle,Lb,1,4.25,0.384,0.375,0.39,0.351,0.331
Nissle,Lb,1,4.5,0.399,0.384,0.391,0.351,0.328
Nissle,Lb,1,4.75,0.411,0.4,0.408,0.363,0.339
Nissle,Lb,1,5,0.421,0.415,0.419,0.369,0.346
Nissle,Lb,1,5.25,0.425,0.426,0.423,0.37,0.355
Nissle,Lb,1,5.5,0.437,0.44,0.44,0.386,0.365
Nissle,Lb,1,5.75,0.437,0.455,0.447,0.397,0.375
Nissle,Lb,1,6,0.445,0.466,0.459,0.409,0.385
Nissle,Lb,1,6.25,0.453,0.473,0.466,0.422,0.392
Nissle,Lb,1,6.5,0.458,0.486,0.475,0.434,0.403
Nissle,Lb,1,6.75,0.469,0.496,0.481,0.441,0.412
Nissle,Lb,1,7,0.474,0.504,0.493,0.452,0.428
Nissle,Lb,1,7.25,0.479,0.516,0.501,0.461,0.445
Nissle,Lb,1,7.5,0.488,0.525,0.506,0.472,0.463
Nissle,Lb,1,7.75,0.49,0.537,0.514,0.484,0.474
Nissle,Lb,1,8,0.497,0.543,0.528,0.502,0.488
Nissle,Lb,2,0,0.084,0.083,0.081,0.083,0.078
Nissle,Lb,2,0.25,0.089,0.086,0.084,0.085,0.081
Nissle,Lb,2,0.5,0.097,0.09,0.088,0.088,0.086
Nissle,Lb,2,0.75,0.097,0.096,0.094,0.093,0.09
Nissle,Lb,2,1,0.104,0.104,0.102,0.098,0.096
Nissle,Lb,2,1.25,0.119,0.119,0.118,0.107,0.103
Nissle,Lb,2,1.5,0.134,0.138,0.136,0.12,0.115
Nissle,Lb,2,1.75,0.152,0.156,0.154,0.133,0.127
Nissle,Lb,2,2,0.176,0.182,0.176,0.148,0.143
Nissle,Lb,2,2.25,0.196,0.207,0.202,0.162,0.156
Nissle,Lb,2,2.5,0.203,0.233,0.221,0.178,0.172
Nissle,Lb,2,2.75,0.222,0.253,0.251,0.194,0.186
Nissle,Lb,2,3,0.228,0.269,0.259,0.212,0.204
Nissle,Lb,2,3.25,0.303,0.319,0.311,0.237,0.218
Nissle,Lb,2,3.5,0.315,0.351,0.353,0.265,0.262
Nissle,Lb,2,3.75,0.319,0.369,0.363,0.286,0.266
Nissle,Lb,2,4,0.337,0.378,0.371,0.31,0.291
Nissle,Lb,2,4.25,0.352,0.39,0.384,0.328,0.317
Nissle,Lb,2,4.5,0.374,0.404,0.401,0.344,0.34
Nissle,Lb,2,4.75,0.387,0.415,0.405,0.345,0.332
Nissle,Lb,2,5,0.404,0.43,0.419,0.36,0.344
Nissle,Lb,2,5.25,0.418,0.443,0.43,0.372,0.359
Nissle,Lb,2,5.5,0.434,0.455,0.44,0.385,0.369
Nissle,Lb,2,5.75,0.451,0.464,0.45,0.391,0.38
Nissle,Lb,2,6,0.472,0.474,0.461,0.401,0.387
Nissle,Lb,2,6.25,0.485,0.485,0.476,0.415,0.394
Nissle,Lb,2,6.5,0.496,0.494,0.484,0.424,0.402
Nissle,Lb,2,6.75,0.501,0.504,0.491,0.436,0.414
Nissle,Lb,2,7,0.51,0.511,0.499,0.445,0.429
Nissle,Lb,2,7.25,0.525,0.519,0.499,0.459,0.443
Nissle,Lb,2,7.5,0.539,0.516,0.501,0.464,0.458
Nissle,Lb,2,7.75,0.553,0.523,0.511,0.481,0.47
Nissle,Lb,2,8,0.56,0.528,0.529,0.49,0.482
Nissle,Lb,3,0,0.088,0.087,0.086,0.087,0.09
Nissle,Lb,3,0.25,0.089,0.087,0.088,0.088,0.092
Nissle,Lb,3,0.5,0.092,0.09,0.094,0.09,0.095
Nissle,Lb,3,0.75,0.098,0.096,0.099,0.095,0.1
Nissle,Lb,3,1,0.105,0.101,0.102,0.099,0.105
Nissle,Lb,3,1.25,0.116,0.112,0.113,0.105,0.11
Nissle,Lb,3,1.5,0.13,0.125,0.132,0.112,0.117
Nissle,Lb,3,1.75,0.146,0.139,0.143,0.121,0.126
Nissle,Lb,3,2,0.166,0.158,0.159,0.13,0.136
Nissle,Lb,3,2.25,0.188,0.181,0.189,0.143,0.147
Nissle,Lb,3,2.5,0.207,0.202,0.203,0.157,0.16
Nissle,Lb,3,2.75,0.233,0.233,0.241,0.172,0.175
Nissle,Lb,3,3,0.245,0.267,0.276,0.192,0.192
Nissle,Lb,3,3.25,0.306,0.288,0.293,0.206,0.209
Nissle,Lb,3,3.5,0.336,0.347,0.35,0.239,0.235
Nissle,Lb,3,3.75,0.352,0.372,0.377,0.264,0.267
Nissle,Lb,3,4,0.364,0.374,0.377,0.301,0.281
Nissle,Lb,3,4.25,0.378,0.388,0.389,0.328,0.331
Nissle,Lb,3,4.5,0.392,0.409,0.412,0.365,0.366
Nissle,Lb,3,4.75,0.397,0.41,0.412,0.343,0.346
Nissle,Lb,3,5,0.418,0.428,0.43,0.364,0.368
Nissle,Lb,3,5.25,0.427,0.438,0.438,0.368,0.372
Nissle,Lb,3,5.5,0.435,0.45,0.453,0.38,0.381
Nissle,Lb,3,5.75,0.447,0.46,0.462,0.391,0.389
Nissle,Lb,3,6,0.445,0.466,0.472,0.403,0.397
Nissle,Lb,3,6.25,0.454,0.474,0.482,0.413,0.411
Nissle,Lb,3,6.5,0.466,0.49,0.498,0.429,0.421
Nissle,Lb,3,6.75,0.474,0.496,0.498,0.44,0.429
Nissle,Lb,3,7,0.479,0.503,0.508,0.451,0.437
Nissle,Lb,3,7.25,0.487,0.509,0.52,0.462,0.449
Nissle,Lb,3,7.5,0.495,0.518,0.527,0.476,0.463
Nissle,Lb,3,7.75,0.498,0.517,0.523,0.488,0.478
Nissle,Lb,3,8,0.505,0.519,0.523,0.5,0.495
